country,records,unique_companies,avg_adoption,avg_maturity,avg_productivity_gain,avg_training_hours,avg_automation_rate,avg_deployment_count,avg_investment,avg_cost_savings,avg_revenue_impact,avg_total_financial_impact,avg_roi_proxy,advanced_share,negative_revenue_share
United States,50080,7986,0.5468959884185304,6.604374600638978,0.4151660603035144,92.02980231629392,0.45584967651757186,27.5571285942492,6085048.377276358,2701533.9481629394,3275056.709085463,5976590.657248403,0.8308793675255237,0.36583466453674124,0.03446485623003195
Singapore,3958,3122,0.5353657655381505,6.417546740778171,0.4019713491662456,83.94567963617989,0.44068620515411827,26.790298130368875,5226935.507832238,2291830.3665992925,2804310.630874179,5096140.997473472,0.81933538263484,0.34992420414350683,0.03865588681152097
United Kingdom,13989,6648,0.5342373007362928,6.420376724569304,0.4018756165558653,83.50701980127242,0.4425278147115591,26.846021874329832,4818029.601401101,2110285.1493316176,2621816.2039459576,4732101.353277575,0.8232554052573483,0.3507041246693831,0.03681464007434413
Canada,10114,5774,0.5305241150879969,6.28360193790785,0.39690359897172234,76.6363061103421,0.4392188253905478,26.44107178168875,4781970.193098675,2076579.993375519,2516732.093434843,4593312.086810362,0.8102008566949628,0.34832904884318766,0.03895590270911608
China,35906,7903,0.5293304600902357,6.2820754191500034,0.3958960424441597,76.30537793126497,0.4376198713306968,26.452988358491616,5182406.969085947,2271082.5729961568,2767177.040271821,5038259.613267978,0.8139308902373561,0.3438422547763605,0.03709686403386621
Sweden,4057,3205,0.5290220113384274,6.275558294306137,0.39771565195957603,76.35738230219374,0.43926522060635936,26.40621148631994,4741028.357653438,2088902.5112151837,2612580.2344096624,4701482.745624846,0.8197077474507398,0.3529701750061622,0.035001232437761896
Germany,16040,6898,0.5219532668329178,6.225365336658355,0.3908900561097257,75.32484413965088,0.4323708042394015,26.08160847880299,4709740.75947631,2038144.5538029925,2449625.3572942642,4487769.9110972565,0.7988455937241195,0.33428927680798004,0.03834164588528678
Australia,5960,4204,0.5182243791946308,6.088640939597316,0.3849185067114094,68.63072147651006,0.4269234060402684,25.638422818791945,4264635.078691275,1847461.1033557048,2230040.6189597314,4077501.722315436,0.7983570467612428,0.3233221476510067,0.041442953020134225
South Korea,8033,5065,0.516779173409685,6.091388024399353,0.38460500435702727,68.37721897174156,0.42663752022905516,25.64334619693763,4299823.318934396,1868957.1502551974,2287403.9499564297,4156361.100211627,0.8057057331403242,0.3250342337856343,0.03572762355284451
Netherlands,4032,3125,0.5165724454365079,6.088395337301587,0.38361185515873014,68.37532242063492,0.4266311011904762,25.647321428571427,4235845.267113095,1842425.6877480159,2192754.313988095,4035180.001736111,0.8003718635789537,0.328125,0.0441468253968254
Japan,14125,6634,0.5162677309734514,6.083057699115044,0.38354282477876106,68.36705132743363,0.42496939469026546,25.62145132743363,4309015.203044248,1844974.1461238938,2249943.5668672565,4094917.7129911506,0.7954005285979456,0.32849557522123896,0.036814159292035395
France,9896,5690,0.5156917138237672,6.078471099434115,0.3829349636216653,68.21815885206144,0.4237391774454325,25.562752627324173,4349165.17714228,1873984.0382983023,2313178.438257882,4187162.4765561842,0.8001745522530017,0.3244745351657235,0.03910670978172999
India,13911,6599,0.5109989720365179,5.93620947451657,0.3784045791100568,61.42681331320538,0.42136264826396375,25.149737617712603,3083856.243763928,1321680.5230393214,1601001.9704550356,2922682.493494357,0.793815105460829,0.3146430882035799,0.03968082812163037
UAE,1968,1729,0.503554319105691,5.795492886178862,0.36760518292682925,54.43866869918699,0.4099587398373984,24.702235772357724,3723832.4644308942,1597924.036585366,1985692.56300813,3583616.599593496,0.790250516947685,0.3196138211382114,0.03556910569105691
Brazil,7931,5033,0.4874344723237927,5.565212457445467,0.3552445467154205,46.96090026478376,0.39740590089522126,23.647333249274997,2634353.1042743665,1083809.6446854116,1329623.1299962173,2413432.774681629,0.7634441128000917,0.28520993569537256,0.04060017652250662
