industry,records,unique_companies,avg_adoption,avg_maturity,avg_productivity_gain,avg_training_hours,avg_automation_rate,avg_deployment_count,avg_investment,avg_cost_savings,avg_revenue_impact,avg_total_financial_impact,avg_roi_proxy,advanced_share,negative_revenue_share
Energy,14080,6604,0.5315669318181818,6.302245738636364,0.42655101562500003,77.32440340909092,0.49231946022727274,26.54012784090909,5783328.65546875,2130234.0764914774,2267110.1415482955,4397344.2180397725,0.6750808779986499,0.34723011363636364,0.03636363636363636
Agriculture,9934,5673,0.5299576504932555,6.287258908798067,0.4064045399637608,77.07725991544191,0.456361958928931,26.40738876585464,1315642.1272397826,406224.86933762836,445679.35383531306,851904.2231729414,0.5771210148512351,0.3432655526474733,0.03573585665391584
Financial Services,27927,7794,0.5290802556665593,6.281279765101872,0.4062734808608157,77.0313388477101,0.456018824077058,26.406380921688687,8206723.9913703585,3383839.281519676,3863965.9529487593,7247805.234468436,0.7854267905144395,0.34070970745157014,0.035843448992014894
Healthcare,24026,7609,0.5287149046865895,6.284291600765838,0.34933372180138184,76.97114792308332,0.3524452967618414,26.42166819279114,4921771.078040456,1578793.8249812704,2059374.0385832016,3638167.8635644717,0.6573585235259745,0.345417464413552,0.03646050112378257
Retail,20048,7354,0.5282438896648045,6.274531125299282,0.36766091380686355,76.81449022346368,0.386364485235435,26.343774940143657,2451389.8909616917,1005702.1229549082,1285909.6320331206,2291611.7549880287,0.8317801068286095,0.34307661612130885,0.03765961691939346
Manufacturing,29884,7817,0.5279884051666444,6.278262615446393,0.4424817728550395,76.87283830812474,0.5222463960647838,26.367989559630573,4075209.0518002943,1461592.8887364476,1476648.8701646365,2938241.7589010843,0.6406754745001841,0.34235711417480924,0.03818096640342658
Logistics,16021,6933,0.5274422445540229,6.26309281567942,0.43344922913675804,76.85923475438487,0.5058443730104238,26.28562511703389,3270041.544160789,1297772.4858623056,1358749.3635228763,2656521.849385182,0.7210101294559366,0.3427376568254166,0.03726359153610886
Telecom,14128,6653,0.5265859286523216,6.265444507361268,0.3854975155719139,76.59842157417893,0.4196508564552661,26.268898640996603,4875045.089396942,1917113.8700453,2264974.742355606,4182088.612400906,0.7664661366630577,0.3391845979614949,0.03765571913929785
Technology,35994,7917,0.525666905595377,6.251204089570484,0.3847477940767906,76.19402400400067,0.41846248819247656,26.220731232983276,6488823.099072068,4061684.3622548203,5527863.519558815,9589547.881813636,1.3124689718243936,0.33591709729399344,0.03789520475634828
Education,7958,5026,0.5212366423724554,6.218490826840915,0.30711873586328226,75.74439557677809,0.2800098894194521,26.016210103040965,806923.2866298065,176983.9189494848,253323.9682080925,430307.88715757726,0.47540386580376826,0.3341291781854737,0.03857753204322694
