column,lower_bound,upper_bound,outlier_count,outlier_pct
revenue_impact,-3363271.5,7029400.5,15869,0.079345
total_financial_impact,-5979154.875,13113694.125,14297,0.071485
cost_savings,-2619233.875,5963669.125,13386,0.06693
impact_per_deployment,-167083.30184294865,439496.86418269225,12861,0.064305
roi_proxy,-0.23626666307926092,1.7286594818911376,9059,0.045295
ai_investment_usd,-4223766.25,12962949.75,7476,0.03738
investment_per_deployment,-123813.75085224156,481768.53603578726,7097,0.035485
employee_ai_training_hours,-42.60000000000001,195.0,6,3e-05
ai_adoption_level,-0.2515,1.3109,0,0.0
automation_rate,-0.20424999999999988,1.06975,0,0.0
productivity_gain,-0.18570000000000006,0.9743,0,0.0
ai_maturity_score,0.08000000000000096,12.48,0,0.0
deployment_count,-14.0,66.0,0,0.0
